icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
964,9/20/2018,9/20/2018,2018,ICSA-18-263-01,Tec4Data SmartCooler,Tec4Data,SmartCooler,The following versions of SmartCooler - cooling appliance are affected: SmartCooler | all versions prior to firmware 180806.,CVE-2018-14796,7.5,High,CWE-306,Commercial Facilities,Worldwide,Austria,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
963,9/20/2018,10/10/2018,2018,ICSA-18-263-02,Rockwell Automation RSLinx Classic,Rockwell Automation,RSLinx Classic,The following versions of RSLinx Classic - software platform that allows Logix5000 Programmable Automation Controllers to connect to a wide variety of Rockwell Software applications are affected: RSLinx Classic Versions 4.00.01 and prior.,"CVE-2018-14829, CVE-2018-14821, CVE-2018-14827",10,Critical,"CWE-122, CWE-121, CWE-400",Critical Manufacturing; Energy; Water and Wastewater,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
962,9/18/2018,9/18/2018,2018,ICSA-18-261-01,WECON PLC Editor,WECON,PLC Editor,The following version of PLC Editor - ladder logic software are reported to be affected: 1.3.3U. Additional versions may also be vulnerable.,CVE-2018-14792,6.3,Medium,CWE-121,Critical Manufacturing; Energy; Water and Wastewater,Worldwide,China,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
961,9/13/2018,9/13/2018,2018,ICSA-18-256-01,Honeywell Mobile Computers with Android Operating Systems,Honeywell,Mobile Computers with Android Operating Systems,The following versions of Honeywell Mobile Computers (hand-held computers) are affected: CT60 running Android OS 7.1 | CN80 running Android OS 7.1 | CT40 running Android OS 7.1 | CK75 running Android OS 6.0 | CN75 running Android OS 6.0 | CN75e running Android OS 6.0 | CT50 running Android OS 6.0 | D75e running Android OS 6.0 | CT50 running Android OS 4.4 | D75e running Android OS 4.4 | CN51 running Android OS 6.0 | EDA50k running Android 4.4 | EDA50 running Android OS 7.1 | EDA50k running Android OS 7.1 | EDA70 running Android OS 7.1 | EDA60k running Android OS 7.1 andEDA51 running Android OS 8.1.,CVE-2018-14825,7.6,High,CWE-269,Commercial Facilities; Critical Manufacturing; Energy; Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
960,9/11/2018,9/13/2018,2018,ICSA-18-254-01,Fuji Electric V-Server,Fuji Electric,V-Server,The following versions of V-Server - data collection and management service are affected: V-Server 4.0.3.0 and prior.,"CVE-2018-14809, CVE-2018-14811, CVE-2018-14813, CVE-2018-14815, CVE-2018-14817, CVE-2018-14819, CVE-2018-14823",7.3,High,"CWE-122, CWE-191, CWE-125, CWE-787, CWE-121, CWE-822, CWE-416",Critical Manufacturing,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
959,9/11/2018,9/11/2018,2018,ICSA-18-254-02,Fuji Electric V-Server Lite,Fuji Electric,V-Server Lite,The following versions of V-Server Lite - data collection and management service are affected: V-Server Lite 4.0.3.0 and prior.,CVE-2018-10637,7.8,High,CWE-120,Critical Manufacturing,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
958,9/11/2018,9/11/2018,2018,ICSA-18-254-03,Siemens TD Keypad Designer,Siemens,TD Keypad Designer,According to Siemens the following products are affected: TD Keypad Designer: All versions.,CVE-2018-13806,7.3,High,CWE-427,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
957,9/11/2018,9/11/2018,2018,ICSA-18-254-04,Siemens SIMATIC WinCC OA,Siemens,SIMATIC WinCC OA,The following versions of SIMATIC WinCC OA - client-server HMI are affected: SIMATIC WinCC OA Version 3.14 and prior.,CVE-2018-13799,9.1,Critical,CWE-284,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
956,9/11/2018,9/11/2018,2018,ICSA-18-254-05,Siemens SCALANCE X Switches,Siemens,SCALANCE X Switches,The following versions of SCALANCE X Switches which are used to connect industrial components like programmable logic controllers (PLCs) or human machine interfaces (HMIs) are affected: SCALANCE X300: All versions prior to 4.0.0 | SCALANCE X408: All versions prior to 4.0.0 and SCALANCE X414: All versions.,CVE-2018-13807,8.6,High,CWE-20,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
955,9/6/2018,9/6/2018,2018,ICSA-18-249-01,Ice Qube Thermal Management Center,Ice Qube,Thermal Management Center,The following versions of Thermal Management Center - environmental software management platform are affected: Thermal Management Center | all versions prior to 4.13.,"CVE-2017-14026, CVE-2017-16714",8.6,High,"CWE-287, CWE-256",Commercial Facilities; Critical Manufacturing; Energy,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
