icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
4660,3/19/2026,3/19/2026,2026,ICSA-26-078-04,Schneider Electric EcoStruxure PME and EPO,Schneider Electric,Schneider Electric EcoStruxure PME and EPO,"EcoStruxure Power Monitoring Expert (PME) Version 2022 and prior, EcoStruxure Power Monitoring Expert (PME) Version 2023, EcoStruxure Power Monitoring Expert (PME) Version 2023 R2, EcoStruxure Power Monitoring Expert (PME) Version 2024, EcoStruxure Power Monitoring Expert (PME) Version 2024 R2, EcoStruxure Power Operation (EPO) 2022 Advanced Reporting and Dashboards Module Version 2022 and prior, EcoStruxure Power Operation (EPO) 2024 with Advanced Reporting and Dashboards Module Version 2024",CVE-2025-11739,7.8,High,CWE-502,Healthcare and Public Health; Information Technology; Critical Manufacturing; Commercial Facilities; Energy; Transportation Systems; Government Facilities; Water and Wastewater Systems,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4659,3/19/2026,3/19/2026,2026,ICSA-26-078-05,Mitsubishi Electric CNC Series,Mitsubishi Electric,Mitsubishi Electric CNC Series,"Mitsubishi Electric M800VW (BND-2051W000): <=BB, Mitsubishi Electric M800VS (BND-2052W000): <=BB, Mitsubishi Electric M80V (BND-2053W000): <=BB, Mitsubishi Electric M80VW (BND-2054W000): <=BB, Mitsubishi Electric M800W (BND-2005W000): <=FM, Mitsubishi Electric M800S (BND-2006W000): <=FM, Mitsubishi Electric M80 (BND-2007W000): <=FM, Mitsubishi Electric M80W (BND-2008W000): <=FM, Mitsubishi Electric E80 (BND-2009W000): <=FM, Mitsubishi Electric C80 (BND-2036W000): vers:all/*, Mitsubishi Electric M750VW (BND-1015W002): vers:all/*, Mitsubishi Electric M730VW (BND-1015W000): vers:all/*, Mitsubishi Electric M720VW (BND-1015W000): vers:all/*, Mitsubishi Electric M750VS (BND-1012W002): vers:all/*, Mitsubishi Electric M730VS (BND-1012W000): vers:all/*, Mitsubishi Electric M720VS (BND-1012W000): vers:all/*, Mitsubishi Electric M70V (BND-1018W000): vers:all/*, Mitsubishi Electric E70 (BND-1022W000): vers:all/*, Mitsubishi Electric NC Trainer2 (BND-1802W000): vers:all/*, Mitsubishi Electric NC Trainer2 plus (BND-1803W000): vers:all/*",CVE-2025-2399,5.9,Medium,CWE-1285,Critical Manufacturing,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4658,3/19/2026,3/19/2026,2026,ICSA-26-078-06,CTEK Chargeportal,CTEK,CTEK Chargeportal,CTEK Chargeportal: vers:all/*,"CVE-2026-25192, CVE-2026-31904, CVE-2026-27649, CVE-2026-28204",9.4,Critical,"CWE-306, CWE-307, CWE-522, CWE-613",Energy; Transportation Systems,Worldwide,Sweden,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4657,3/19/2026,3/19/2026,2026,ICSA-26-078-07,IGL-Technologies eParking.fi,IGL-Technologies,IGL-Technologies eParking.fi,IGL-Technologies eParking.fi: vers:all/*,"CVE-2026-29796, CVE-2026-31903, CVE-2026-32663, CVE-2026-31926",9.4,Critical,"CWE-306, CWE-307, CWE-522, CWE-613",Energy; Transportation Systems,Worldwide,Finland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4656,3/19/2026,3/19/2026,2026,ICSA-26-078-08,Automated Logic WebCTRL Premium Server,Automated Logic,Automated Logic WebCTRL Premium Server,Automated Logic WebCTRL Premium Server: <v8.5,"CVE-2026-25086, CVE-2026-32666, CVE-2026-24060",9.1,Critical,"CWE-290, CWE-319, CWE-605",Commercial Facilities,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4655,3/17/2026,3/17/2026,2026,ICSA-26-076-01,CODESYS in Festo Automation Suite,"FESTO, CODESYS",CODESYS in Festo Automation Suite,"FESTO, CODESYS FESTO Software Festo Automation Suite (versions prior to 2.8.0.138) installed with CODESYS Software CODESYS Development System (3.0): vers:all/*, FESTO, CODESYS FESTO Software Festo Automation Suite (versions prior to 2.8.0.138) installed with CODESYS Software CODESYS Development System (3.5.16.10): vers:all/*, FESTO, CODESYS FESTO Software Festo Automation Suite (2.8.0.137) installed with CODESYS Software CODESYS Development System (3.0): vers:all/*, FESTO, CODESYS FESTO Software Festo Automation Suite (2.8.0.137) installed with CODESYS Software CODESYS Development System (3.5.16.10): vers:all/*","CVE-2025-2595, CVE-2010-5250, CVE-2017-3735, CVE-2018-0739, CVE-2018-10612, CVE-2018-20025, CVE-2018-20026, CVE-2019-13532, CVE-2019-13538, CVE-2019-13542, CVE-2019-13548, CVE-2019-18858, CVE-2019-19789, CVE-2019-5105, CVE-2019-9008, CVE-2019-9009, CVE-2019-9010, CVE-2019-9011, CVE-2019-9012, CVE-2019-9013, CVE-2020-10245, CVE-2020-12067, CVE-2020-12068, CVE-2020-12069, CVE-2020-14509, CVE-2020-14513, CVE-2020-14515, CVE-2020-14517, CVE-2020-14519, CVE-2020-15806, CVE-2020-16233, CVE-2020-7052, CVE-2021-21863, CVE-2021-21864, CVE-2021-21865, CVE-2021-21866, CVE-2021-21867, CVE-2021-21868, CVE-2021-21869, CVE-2021-29239, CVE-2021-29240, CVE-2021-29241, CVE-2021-29242, CVE-2021-30186, CVE-2021-30187, CVE-2021-30188, CVE-2021-30190, CVE-2021-30195, CVE-2021-33485, CVE-2021-33486, CVE-2021-34593, CVE-2021-34595, CVE-2021-34596, CVE-2021-36763, CVE-2021-36764, CVE-2021-36765, CVE-2022-1965, CVE-2022-1989, CVE-2022-22508, CVE-2022-22513, CVE-2022-22514, CVE-2022-22515, CVE-2022-22516, CVE-2022-22517, CVE-2022-22519, CVE-2022-30791, CVE-2022-30792, CVE-2022-31805, CVE-2022-31806, CVE-2022-32136, CVE-2022-32137, CVE-2022-32138, CVE-2022-32139, CVE-2022-32140, CVE-2022-32141, CVE-2022-32142, CVE-2022-32143, CVE-2022-4046, CVE-2022-4048, CVE-2022-4224, CVE-2022-47378, CVE-2022-47379, CVE-2022-47380, CVE-2022-47381, CVE-2022-47383, CVE-2022-47384, CVE-2022-47385, CVE-2022-47386, CVE-2022-47387, CVE-2022-47388, CVE-2022-47389, CVE-2022-47390, CVE-2022-47391, CVE-2022-47392, CVE-2022-47393, CVE-2023-3662, CVE-2023-3663, CVE-2023-3669, CVE-2023-3670, CVE-2023-37545, CVE-2023-37546, CVE-2023-37547, CVE-2023-37548, CVE-2023-37549, CVE-2023-37550, CVE-2023-37551, CVE-2023-37552, CVE-2023-37553, CVE-2023-37554, CVE-2023-37555, CVE-2023-37556, CVE-2023-37557, CVE-2023-37558, CVE-2023-37559, CVE-2023-3935, CVE-2023-49675, CVE-2023-49676, CVE-2023-6357, CVE-2024-5000, CVE-2024-8175, CVE-2025-0694, CVE-2025-1468, CVE-2025-41658, CVE-2025-41659, CVE-2020-11023, CVE-2022-47382",9.8,Critical,"CWE-1188, CWE-119, CWE-12, CWE-120, CWE-121, CWE-122, CWE-125, CWE-126, CWE-13, CWE-194, CWE-20, CWE-203, CWE-22, CWE-269, CWE-276, CWE-284, CWE-306, CWE-307, CWE-326, CWE-327, CWE-33, CWE-330, CWE-345, CWE-346, CWE-347, CWE-400, CWE-401, CWE-404, CWE-416, CWE-425, CWE-426, CWE-427, CWE-476, CWE-50, CWE-502, CWE-523, CWE-552, CWE-640, CWE-668, CWE-674, CWE-732, CWE-75, CWE-754, CWE-755, CWE-770, CWE-78, CWE-787, CWE-79, CWE-805, CWE-82, CWE-822, CWE-823, CWE-916, CWE-923, CWE-940",Critical Manufacturing,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4654,3/17/2026,3/17/2026,2026,ICSA-26-076-02,Schneider Electric SCADAPack and RemoteConnect,Schneider Electric,Schneider Electric SCADAPack and RemoteConnect,"SCADAPack 57x All Versions, RemoteConnect Versions prior to R3.4.2",CVE-2026-0667,9.8,Critical,CWE-754,Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4653,3/17/2026,3/17/2026,2026,ICSA-26-076-03,Schneider Electric EcoStruxure IT Data Center Expert,Schneider Electric,Schneider Electric EcoStruxure Data Center Expert,EcoStruxure IT Data Center Expert (Formerly known as StruxureWare Data Center Expert) v9.0 and prior,CVE-2025-13957,7.2,High,CWE-798,Commercial Facilities; Energy; Food and Agriculture; Government Facilities; Transportation Systems,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4652,3/17/2026,3/17/2026,2026,ICSA-26-076-04,Siemens SICAM SIAPP SDK,Siemens,Siemens SICAM SIAPP SDK,SICAM SIAPP SDK,"CVE-2026-25569, CVE-2026-25570, CVE-2026-25571, CVE-2026-25572, CVE-2026-25573, CVE-2026-25605",7.4,High,"CWE-121, CWE-130, CWE-73, CWE-787",Critical Manufacturing,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4651,3/12/2026,3/12/2026,2026,ICSA-26-071-01,"Trane Tracer SC, Tracer SC+, and Tracer Concierge",Trane,"Trane Tracer SC, Tracer SC+, and Tracer Concierge","Trane Tracer SC: <v4.4_SP7, Trane Tracer SC+: <v6.3.2310, Trane Tracer Concierge: <v6.3.2310","CVE-2026-28252, CVE-2026-28253, CVE-2026-28254, CVE-2026-28255, CVE-2026-28256",8.1,High,"CWE-327, CWE-547, CWE-789, CWE-798, CWE-862",Critical Manufacturing; Commercial Facilities; Government Facilities,Worldwide,Ireland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
